Ga0558117_00215_9303_9470	P24582?2.1.1.72	47.1	51	25	1	1	51	243	291	4.1e-06	50.4
Ga0558117_00215_9471_9674	P24582?2.1.1.72	55.2	67	30	0	1	67	175	241	1.2e-15	82.4
Ga0558117_00215_9714_9875	P24582?2.1.1.72	67.3	52	17	0	2	53	109	160	4.4e-13	73.6
Ga0558117_00215_28652_28849	Q92GH4?4.2.99.18	45.9	61	33	0	1	61	1	61	2.6e-07	54.7
Ga0558117_00215_29045_29200	P54137?3.2.2.-;_4.2.99.18	43.8	48	27	0	4	51	174	221	2.5e-05	47.8
Ga0558117_00215_31758_31919	A9BHW9?2.5.1.75	46.2	39	21	0	1	39	140	178	2.2e-04	44.7
Ga0558117_00215_69906_70232	Q949P2?3.4.24.70	37.7	114	64	2	1	108	271	383	1.6e-14	79.3
Ga0558117_00215_78422_78646	Q00063?4.2.3.1	49.2	61	29	1	8	68	197	255	1.0e-07	56.2
Ga0558117_00215_84265_85329	O34851?3.4.16.-	31.5	305	195	5	52	348	10	308	4.2e-35	149.4
Ga0558117_00215_89599_90108	Q60034?1.5.1.3	27.8	169	112	5	2	167	3	164	1.4e-12	73.6
Ga0558117_00215_96009_96137	Q5WHN4?2.8.1.13	61.9	42	16	0	1	42	102	143	4.0e-09	60.1
Ga0558117_00215_139873_139986	P50735?1.4.1.2	66.7	36	12	0	2	37	294	329	4.3e-07	53.1
Ga0558117_00215_190936_191037	A6TK65?7.1.2.2	87.9	33	4	0	1	33	384	416	8.2e-10	62.0
Ga0558117_00215_194307_194402	Q3J6M9?7.1.2.2	87.1	31	4	0	1	31	395	425	7.2e-08	55.5
Ga0558117_00215_200588_200809	A9NHF4?6.1.1.1	53.4	73	34	0	1	73	245	317	3.2e-14	77.8
Ga0558117_00215_216879_217061	Q9SXJ7?3.6.1.-	44.4	54	30	0	2	55	820	873	3.8e-05	47.4
Ga0558117_00215_219395_219619	A1SWV3?2.8.1.4	37.3	67	42	0	1	67	1	67	5.2e-04	43.9
Ga0558117_00319_2666_2812	A4XL81?2.1.2.9	53.2	47	22	0	2	48	43	89	4.7e-06	50.1
Ga0558117_00319_15275_15379	P0A6M8?3.6.5.-	70.7	41	5	1	1	34	50	90	7.1e-09	58.9
Ga0558117_00319_16002_16358	P0A6M8?3.6.5.-	82.2	90	16	0	1	90	409	498	4.8e-36	151.0
Ga0558117_00319_23490_23645	B7K0I2?6.3.5.7	64.7	51	18	0	1	51	379	429	6.5e-14	76.3
Ga0558117_00319_35266_35583	O67125?2.7.7.7	68.9	45	14	0	61	105	333	377	2.1e-11	68.9
Ga0558117_00319_36787_37062	Q9JVX8?2.7.7.7	51.1	88	43	0	4	91	745	832	3.2e-16	84.7
Ga0558117_00319_105455_105778	Q8RGA3?6.1.1.2	45.3	106	57	1	2	107	39	143	8.8e-21	100.1
Ga0558117_00319_105920_106117	Q9PIB4?6.1.1.2	50.8	63	31	0	1	63	190	252	1.3e-11	68.9
Ga0558117_00319_112437_112736	O66503?1.17.4.1	50.0	96	47	1	5	99	165	260	1.7e-18	92.4
Ga0558117_00319_113151_113282	P74240?1.17.4.1	54.8	42	19	0	1	42	411	452	2.0e-08	57.8
Ga0558117_00319_113988_114239	P50620?1.17.4.1	35.4	82	52	1	1	82	618	698	2.5e-07	55.1
Ga0558117_00319_122029_122232	O83092?1.17.4.1	57.6	66	28	0	2	67	100	165	8.2e-17	86.3
Ga0558117_00319_125859_126053	Q9K6W8?7.4.2.8	37.9	58	35	1	4	61	683	739	7.6e-04	43.1
Ga0558117_00319_131513_131665	C1CVF4?5.6.2.2	62.0	50	19	0	1	50	116	165	2.7e-12	70.9
Ga0558117_00319_137480_137578	Q39Z77?6.1.1.7	62.5	32	12	0	1	32	260	291	2.6e-05	47.0
Ga0558117_00319_146833_146961	Q9XAD5?2.8.1.7	52.4	42	20	0	1	42	67	108	3.8e-04	43.5
Ga0558117_00319_152454_152591	Q17W17?3.5.2.3	58.1	43	17	1	1	42	270	312	1.7e-05	48.1
Ga0558117_00319_154761_154898	Q91437?2.1.3.2;_3.5.1.2;_3.5.2.3;_6.3.4.16;_6.3.5.5	69.8	43	13	0	1	43	2199	2241	6.5e-10	62.8
Ga0558117_00319_170854_170982	C5D6D7?6.1.1.4	75.6	41	10	0	2	42	3	43	5.9e-13	72.8
Ga0558117_00319_171427_171594	Q2SRI9?6.1.1.4	71.1	45	13	0	1	45	195	239	1.2e-13	75.5
Ga0558117_00319_172159_172338	B7GK53?6.1.1.4	55.9	59	26	0	1	59	243	301	3.3e-09	60.8
Ga0558117_00319_172438_172536	Q21FG6?6.1.1.4	88.5	26	3	0	1	26	339	364	2.4e-06	50.4
Ga0558117_00319_177162_177257	P9WHJ3?3.1.-.-	67.7	31	10	0	1	31	127	157	1.7e-04	44.3
Ga0558117_00619_36479_36589	Q9SXJ7?3.6.1.-	57.1	35	15	0	1	35	432	466	1.1e-04	45.1
Ga0558117_00619_47821_48018	Q895H1?2.8.4.3	46.2	65	35	0	1	65	257	321	4.2e-10	63.9
Ga0558117_00619_48040_48240	Q7NQI8?2.8.4.3	41.5	65	37	1	2	66	317	380	4.4e-07	53.9
Ga0558117_00619_64981_65142	P08764?3.1.21.5	52.8	53	25	0	1	53	482	534	2.2e-09	61.2
Ga0558117_00619_70976_71122	P0A459?3.1.21.4	57.8	45	19	0	4	48	196	240	2.7e-06	50.8
